slug,current display,proposed,reason
osamutezuka,Osamu Tezuka,Tezuka,Osamu Tezuka is most widely recognized by his surname in this context.
oswaldtheluckyra,Oswald the Lucky Rabbit,Oswald,Oswald is the instantly recognizable shortened form of the character’s name; the descriptive epithet is omitted.
ottovonbismarck,Otto von Bismarck,Bismarck,"He is world-famous by his surname, so the announcer uses the shortest instantly recognizable form."
pablopicasso,Pablo Picasso,Picasso,Picasso is the instantly recognizable surname form.
paulgascoigne,Paul Gascoigne,Gascoigne,"He is widely recognized by his surname alone, so the announcer uses the shortest familiar form."
polyphemusthecyc,Polyphemus the Cyclops,Polyphemus,Strips the descriptive epithet “the Cyclops”; Polyphemus is the recognizable name.
popejohnpaulthes,Pope John Paul the Second,Pope John Paul II,Uses the iconic papal title and the standard numeral form of his name.
professormoriart,Professor Moriarty,Moriarty,"His surname is the iconic, instantly recognizable form."
queenelizabethth,Queen Elizabeth I,Queen Elizabeth,The iconic title and name are retained while the ordinal qualifier is stripped.
rafaelnadal,Rafael Nadal,Nadal,Surname alone is the instantly recognizable form for Rafael Nadal.
richardwagner,Richard Wagner,Wagner,Surname alone is the instantly recognizable form for the world-famous composer Richard Wagner.
robertoppenheime,Robert Oppenheimer,Oppenheimer,"Surname alone is the iconic, instantly recognizable form."
robgronkowski,Rob Gronkowski,Gronkowski,His surname is the instantly recognizable form for this famous football player.
salvadordal,Salvador Dalí,Dalí,Surname alone is the instantly recognizable form for Salvador Dalí.
sigmundfreud,Sigmund Freud,Freud,His surname alone is the instantly recognisable form.
sinbadthesailor,Sinbad the Sailor,Sinbad,Strips the descriptive epithet “the Sailor”; Sinbad is the instantly recognizable name.
siouxsiesioux,Siouxsie Sioux,Siouxsie,Siouxsie is the instantly recognizable stage name; “Sioux” is her surname but not the form most associated with her.
stephenhawking,Stephen Hawking,Hawking,Surname alone is the instantly recognizable form for Stephen Hawking.
suleimanthemagni,Suleiman the Magnificent,Suleiman,The epithet “the Magnificent” is a descriptive qualifier; the recognisable name is Suleiman.
sunwukongthemonk,Sun Wukong the Monkey King,Sun Wukong,Strips the descriptive title “the Monkey King”; Sun Wukong is the recognizable name.
takerukobayashi,Takeru Kobayashi,Kobayashi,He is widely recognized by the surname Kobayashi alone.
terencetao,Terence Tao,Tao,"Surname alone is the iconic, instantly recognisable form for the world-famous mathematician Terence Tao."
thebigbadwolf,The Big Bad Wolf,Big Bad Wolf,Removes the leading article while preserving the character's instantly recognizable name.
thecheshirecat,The Cheshire Cat,Cheshire Cat,Removes the leading article while preserving the character’s instantly recognizable name.
thechupacabra,The Chupacabra,Chupacabra,The descriptive article “The” is stripped; “Chupacabra” is the instantly recognizable name.
thegolemofprague,The Golem of Prague,Golem,"The iconic, instantly recognizable form is “Golem”; “of Prague” is a descriptive qualifier."
thelochnessmonst,The Loch Ness Monster,Nessie,"The Loch Ness Monster is most instantly recognized by its famous name, Nessie."
theminotaur,The Minotaur,Minotaur,The descriptive article “The” is unnecessary; Minotaur is the instantly recognizable name.
thequeenofhearts,The Queen of Hearts,Queen of Hearts,The iconic character name is best recognized without the leading article.
thescarecrow,The Scarecrow,Scarecrow,The iconic character is recognized by the name Scarecrow; the leading article is descriptive and omitted.
thetinman,The Tin Man,Tin Man,The iconic character name is naturally shouted without the leading article.
thewickedwitchof,The Wicked Witch of the West,Wicked Witch,"The iconic character is most naturally recognized by the shortened name “Wicked Witch,” with the directional qualifier removed."
thomasedison,Thomas Edison,Edison,"Thomas Edison is world-famous by his surname, so the announcer should use the shortest instantly recognizable form."
thorthenorsegod,Thor the Norse God,Thor,Strips the descriptive epithet “the Norse God”; Thor is the instantly recognizable name.
tupacshakur,Tupac Shakur,Tupac,Tupac is the instantly recognizable stage name.
tylerninjablevin,Tyler Ninja Blevins,Ninja,His famous gaming persona and instantly recognizable form is the stage name “Ninja.”
ulyssessgrant,Ulysses S. Grant,Grant,Surname alone is the instantly recognizable form for Ulysses S. Grant.
vincelombardi,Vince Lombardi,Lombardi,He is world-famous by his surname alone.
vincentvangogh,Vincent van Gogh,Van Gogh,The surname is the instantly recognizable form for Vincent van Gogh.
vladimirlenin,Vladimir Lenin,Lenin,Surname alone is the instantly recognizable form for Vladimir Lenin.
vladimirputin,Vladimir Putin,Putin,Surname alone is the instantly recognizable form.
vladtheimpaler,Vlad the Impaler,Vlad,The famous form is Vlad; “the Impaler” is a descriptive epithet.
waynegretzky,Wayne Gretzky,Gretzky,Wayne Gretzky is world-famous by his surname alone.
weirdalyankovic,Weird Al Yankovic,Weird Al,This is the instantly recognizable stage-name form of Weird Al Yankovic.
williamshakespea,William Shakespeare,Shakespeare,Surname alone is the instantly recognizable form.
winstonchurchill,Winston Churchill,Churchill,Winston Churchill is world-famous by his surname alone.
wolfgangamadeusm,Wolfgang Amadeus Mozart,Mozart,Mozart is the world-famous surname and the shortest instantly recognizable form.
yurigagarin,Yuri Gagarin,Gagarin,Yuri Gagarin is world-famous by his surname alone.
zinedinezidane,Zinedine Zidane,Zidane,Surname alone is the instantly recognizable form for the famous footballer Zinedine Zidane.
