slug,entry,current,proposed,reason
andykaufman,Andy Kaufman,Andy Kaufman,Andy Kaufman,Both names are needed to identify the famous entertainer.
andyserkis,Andy Serkis,Andy Serkis,Andy Serkis,"His full name is the recognizable form, and the current display is already correct."
andywarhol,Andy Warhol,Andy Warhol,Andy Warhol,"The full name is the iconic, instantly recognizable form."
angelinajolie,Angelina Jolie,Angelina Jolie,Angelina Jolie,"Her full name is the recognizable form, and the current display is already correct."
angusyoung,Angus Young,Angus Young,Angus Young,Both first and last names are needed to identify the famous musician.
annawintour,Anna Wintour,Anna Wintour,Anna Wintour,Both first and last name are needed for recognition.
anneboleyn,Anne Boleyn,Anne Boleyn,Anne Boleyn,Both names are needed to identify the famous historical figure.
annielennox,Annie Lennox,Annie Lennox,Annie Lennox,Both first and last names are needed for the recognizable full name.
annieoakley,Annie Oakley,Annie Oakley,Annie Oakley,"Her full name is the recognizable form, and the current display is already correct."
anthonybourdain,Anthony Bourdain,Anthony Bourdain,Anthony Bourdain,Both first name and surname are needed for the instantly recognizable full-name form.
anthonyhopkins,Anthony Hopkins,Anthony Hopkins,Anthony Hopkins,Both first and last names are needed for recognition.
anthonykiedis,Anthony Kiedis,Anthony Kiedis,Anthony Kiedis,Both first and last names are needed to identify him naturally.
antonioinoki,Antonio Inoki,Antonio Inoki,Antonio Inoki,The current display is already the recognizable full name.
antoniovivaldi,Antonio Vivaldi,Antonio Vivaldi,Vivaldi,Surname alone is the instantly recognizable form for Antonio Vivaldi.
anubis,Anubis,Anubis,Anubis,The current display is already the recognizable name of the fighter.
aravindsrinivas,Aravind Srinivas,Aravind Srinivas,Aravind Srinivas,Both given name and surname are needed to identify him; the current display is already correct.
arethafranklin,Aretha Franklin,Aretha Franklin,Aretha Franklin,The current display is already the correct iconic full name.
arianagrande,Ariana Grande,Ariana Grande,Ariana Grande,The current display is already the recognizable full name.
arnoldschwarzene,Arnold Schwarzenegger,Arnold Schwarzenegger,Arnold Schwarzenegger,The current display is already the recognizable full name.
attilathehun,Attila the Hun,Attila the Hun,Attila,The descriptive epithet “the Hun” is stripped; Attila is the recognisable name.
audreyhepburn,Audrey Hepburn,Audrey Hepburn,Audrey Hepburn,Both first and last names are needed to identify the iconic actress.
avicii,Avicii,Avicii,Avicii,The current display is already the iconic name by which he is instantly recognized.
axlrose,Axl Rose,Axl Rose,Axl Rose,"The current display is already the natural, instantly recognizable full name."
ayrtonsenna,Ayrton Senna,Ayrton Senna,Ayrton Senna,Both names are needed to identify the famous Brazilian racing driver.
babayaga,Baba Yaga,Baba Yaga,Baba Yaga,"Already the iconic, instantly recognizable name."
baberuth,Babe Ruth,Babe Ruth,Babe Ruth,Both names are needed for his instantly recognizable full-name form.
badbunny,Bad Bunny,Bad Bunny,Bad Bunny,The current display is already the artist’s instantly recognizable stage name.
barackobama,Barack Obama,Barack Obama,Barack Obama,"Both names are needed for instant recognition, and the current display is already correct."
baronmunchausen,Baron Munchausen,Baron Munchausen,Baron Munchausen,"The current display is already the natural, iconic full name."
barrymanilow,Barry Manilow,Barry Manilow,Barry Manilow,"The current display is already the natural, instantly recognizable full name."
barrywhite,Barry White,Barry White,Barry White,"His full name is the recognizable form, and the current display is already correct."
batista,Batista,Batista,Batista,Already the recognizable in-game name; no change needed.
beargrylls,Bear Grylls,Bear Grylls,Bear Grylls,His full name is the recognizable form and the current display is already correct.
beckylynch,Becky Lynch,Becky Lynch,Becky Lynch,The current display is already the fighter’s recognisable full name.
benedictcumberba,Benedict Cumberbatch,Benedict Cumberbatch,Benedict Cumberbatch,Both names are needed to clearly identify him.
benitomussolini,Benito Mussolini,Benito Mussolini,Mussolini,Surname alone is the instantly recognizable form.
benjaminfranklin,Benjamin Franklin,Benjamin Franklin,Benjamin Franklin,Both names are needed for the instantly recognizable full name.
bennyhill,Benny Hill,Benny Hill,Benny Hill,The current display is already the comedian’s recognized full name.
beowulf,Beowulf,Beowulf,Beowulf,"The current display is already the fighter’s iconic, instantly recognizable name."
berniemadoff,Bernie Madoff,Bernie Madoff,Madoff,Surname alone is the shortest instantly recognizable form for Bernie Madoff.
berniesanders,Bernie Sanders,Bernie Sanders,Bernie Sanders,Both first and last name are needed for immediate recognition.
bettyboop,Betty Boop,Betty Boop,Betty Boop,Betty Boop is her instantly recognizable full character name.
bettywhite,Betty White,Betty White,Betty White,"Her full name is the recognizable form, and the current display is already correct."
beyonc,Beyoncé,Beyoncé,Beyoncé,The current display is already the iconic name by which she is instantly recognized.
bigfoot,Bigfoot,Bigfoot,Bigfoot,The current display is already the instantly recognisable name.
biggiesmalls,Biggie Smalls,Biggie Smalls,Biggie Smalls,"The current display is already the fighter's iconic, instantly recognizable name."
bigshow,Big Show,Big Show,Big Show,The current display is already the fighter’s famous ring name.
billbelichick,Bill Belichick,Bill Belichick,Bill Belichick,Both first and last names are needed for the instantly recognizable full name.
billclinton,Bill Clinton,Bill Clinton,Bill Clinton,The current display is already the natural full name by which he is instantly recognized.
billgates,Bill Gates,Bill Gates,Bill Gates,"Both first and last names are needed for the instantly recognizable full name, and the current display is already correct."
billgoldberg,Bill Goldberg,Bill Goldberg,Bill Goldberg,"Both first and last names are needed for his recognizable full name, and the current display is already correct."
billieeilish,Billie Eilish,Billie Eilish,Billie Eilish,"The current display is already the natural, instantly recognizable full name."
billiejoearmstro,Billie Joe Armstrong,Billie Joe Armstrong,Billie Joe Armstrong,"The full name is the recognizable form for this musician, and the current display is already correct."
billmurray,Bill Murray,Bill Murray,Bill Murray,Both first and last names are needed for recognition.
billnye,Bill Nye,Bill Nye,Bill Nye,The current display is already the recognizable full name.
billyblanks,Billy Blanks,Billy Blanks,Billy Blanks,The current display is already the fighter’s recognizable full name.
billyconnolly,Billy Connolly,Billy Connolly,Billy Connolly,"Both names are needed to identify the famous comedian, and the current display is already correct."
billycorgan,Billy Corgan,Billy Corgan,Billy Corgan,His full name is the recognizable form; neither “Billy” nor “Corgan” alone is sufficient.
billyidol,Billy Idol,Billy Idol,Billy Idol,"Billy Idol is the recognizable full stage name, and the current display is already correct."
billyjoel,Billy Joel,Billy Joel,Billy Joel,Billy Joel is the recognizable full name and the current display is already correct.
billyraycyrus,Billy Ray Cyrus,Billy Ray Cyrus,Billy Ray Cyrus,"His full name is the recognizable form, and the current display is already correct."
billythekid,Billy the Kid,Billy the Kid,Billy the Kid,"Already the iconic, instantly recognizable name; the epithet is part of his famous name."
bjrnborg,Björn Borg,Björn Borg,Björn Borg,Both names are needed to identify the famous tennis player.
blackbeard,Blackbeard,Blackbeard,Blackbeard,"Already the iconic, instantly recognizable name."
blakerobbins,Blake Robbins,Blake Robbins,Blake Robbins,The current display is already the fighter’s natural full name; no more recognizable shorter form is indicated.
bobbarker,Bob Barker,Bob Barker,Bob Barker,The current display is already the recognizable full name.
bobdylan,Bob Dylan,Bob Dylan,Bob Dylan,Both names are needed for the instantly recognizable full name.
bobhope,Bob Hope,Bob Hope,Bob Hope,Both first and last names are needed for the iconic name.
bobmarley,Bob Marley,Bob Marley,Bob Marley,Both first and last name are needed for the instantly recognizable form.
bobross,Bob Ross,Bob Ross,Bob Ross,The current display is already the recognizable full name.
bobsapp,Bob Sapp,Bob Sapp,Bob Sapp,"Both names are needed to identify the famous fighter, and the current display is already correct."
bojackson,Bo Jackson,Bo Jackson,Bo Jackson,Both first and last names are needed for the instantly recognizable full name.
boloyeung,Bolo Yeung,Bolo Yeung,Bolo Yeung,"His full name is the recognizable form, and the current display is already correct."
bono,Bono,Bono,Bono,Bono is the iconic stage name and the current display is already correct.
bookert,Booker T,Booker T,Booker T,The current display is already the fighter’s recognized ring name.
borisjohnson,Boris Johnson,Boris Johnson,Boris Johnson,Both first and last names are needed to identify him naturally.
botticellisvenus,Botticelli's Venus,Botticelli's Venus,Venus,The iconic figure is Venus; “Botticelli’s” is a descriptive qualifier and should be stripped.
boyangniu,Boyang Niu,Boyang Niu,Boyang Niu,His full name is needed to identify him; the current display is already right.
boygeorge,Boy George,Boy George,Boy George,Boy George is the artist’s iconic full stage name and is already the correct announcer display.
bradpitt,Brad Pitt,Brad Pitt,Brad Pitt,"Both first and last name are needed for recognition, and the current display is already correct."
brethart,Bret Hart,Bret Hart,Bret Hart,"Bret Hart is the fighter’s recognizable full professional name, and the current display is already correct."
brianmay,Brian May,Brian May,Brian May,Both first and last name are needed to recognize the famous musician.
britneyspears,Britney Spears,Britney Spears,Britney Spears,Both names are needed for the instantly recognizable full name.
brittneygriner,Brittney Griner,Brittney Griner,Brittney Griner,Her full name is the recognizable form and the current display is already correct.
brocklesnar,Brock Lesnar,Brock Lesnar,Brock Lesnar,"His full name is the recognizable form, and the current display is already correct."
brucebuffer,Bruce Buffer,Bruce Buffer,Bruce Buffer,"His full name is the recognizable form, and the current display is already correct."
brucelee,Bruce Lee,Bruce Lee,Bruce Lee,The current display is already the fighter’s iconic full name.
brucespringsteen,Bruce Springsteen,Bruce Springsteen,Bruce Springsteen,The current display is already the recognizable full name.
brucewillis,Bruce Willis,Bruce Willis,Bruce Willis,Both first and last names are needed for this celebrity’s instantly recognizable form.
brunhilde,Brunhilde,Brunhilde,Brunhilde,The current display is already the fighter’s recognizable name.
brunomars,Bruno Mars,Bruno Mars,Bruno Mars,Both names are needed to identify the famous performer.
bryancranston,Bryan Cranston,Bryan Cranston,Bryan Cranston,"His full name is the recognizable form, and the current display is already correct."
buddha,Buddha,Buddha,Buddha,The current display is already the instantly recognisable name.
buddyholly,Buddy Holly,Buddy Holly,Buddy Holly,Both names are needed for the iconic full-name form.
buffalobill,Buffalo Bill,Buffalo Bill,Buffalo Bill,"The current display is already the natural, instantly recognizable name."
burnaboy,Burna Boy,Burna Boy,Burna Boy,The current display is already the artist’s recognized stage name.
burtreynolds,Burt Reynolds,Burt Reynolds,Burt Reynolds,Both first and last names are needed for the instantly recognizable name.
bustarhymes,Busta Rhymes,Busta Rhymes,Busta Rhymes,The current display is already the recognizable stage name.
busterkeaton,Buster Keaton,Buster Keaton,Buster Keaton,His full name is the iconic form and the current display is already correct.
butterbean,Butterbean,Butterbean,Butterbean,The current display is already the fighter’s recognizable name.
buzzaldrin,Buzz Aldrin,Buzz Aldrin,Buzz Aldrin,Both first and last names are needed for immediate recognition.
caitlinclark,Caitlin Clark,Caitlin Clark,Caitlin Clark,"Her full name is the recognizable form, and the current display is already correct."
caitlynjenner,Caitlyn Jenner,Caitlyn Jenner,Caitlyn Jenner,"The current display is already the natural, instantly recognizable full name."
calamityjane,Calamity Jane,Calamity Jane,Calamity Jane,The current display is already the recognizable name.
caliban,Caliban,Caliban,Caliban,The current display is already the fighter’s recognizable name.
caligula,Caligula,Caligula,Caligula,The current display is already the recognizable name.
calvinharris,Calvin Harris,Calvin Harris,Calvin Harris,His full professional name is the instantly recognizable form; neither “Calvin” nor “Harris” alone is sufficient.
canelolvarez,Canelo Álvarez,Canelo Álvarez,Canelo Álvarez,Already the fighter’s widely recognized name; no change needed.
captainahab,Captain Ahab,Captain Ahab,Captain Ahab,The iconic title and full name are the standard recognizable form.
captainhook,Captain Hook,Captain Hook,Captain Hook,The iconic title is part of the character’s instantly recognizable name and the current display is already correct.
captainnemo,Captain Nemo,Captain Nemo,Captain Nemo,The current display is already the fighter's iconic full name and includes the established title.
cardib,Cardi B,Cardi B,Cardi B,Her established stage name is already the instantly recognizable in-game form.
carlossantana,Carlos Santana,Carlos Santana,Carlos Santana,Both first and last names are needed to identify the famous musician.
carlsagan,Carl Sagan,Carl Sagan,Carl Sagan,Both first and last name are needed to identify him naturally; the current display is already correct.
carlweathers,Carl Weathers,Carl Weathers,Carl Weathers,Both the first and last name are needed to identify him naturally.
carmen,Carmen,Carmen,Carmen,The current display is already the correct recognizable name.
carriefisher,Carrie Fisher,Carrie Fisher,Carrie Fisher,Both first and last names are needed for recognition.
carrottop,Carrot Top,Carrot Top,Carrot Top,Carrot Top is his recognizable stage name and the current display is already correct.
casanova,Casanova,Casanova,Casanova,The current display is already the iconic surname by which he is universally recognized.
catherinethegrea,Catherine the Great,Catherine the Great,Catherine the Great,Her iconic historical name includes the title and is already correctly displayed.
chadkroeger,Chad Kroeger,Chad Kroeger,Chad Kroeger,His full name is the recognizable form; the current display is already correct.
chadochocinco,Chad Ochocinco,Chad Ochocinco,Ochocinco,"His iconic, instantly recognizable surname is the shortest natural announcer name."
chappellroan,Chappell Roan,Chappell Roan,Chappell Roan,The current display is already the artist’s recognizable full name.
charlemagne,Charlemagne,Charlemagne,Charlemagne,The current display is already the recognizable name.
charlesatlas,Charles Atlas,Charles Atlas,Charles Atlas,Both names are needed to identify the famous bodybuilder and cultural icon.
charlesbarkley,Charles Barkley,Charles Barkley,Charles Barkley,Already the correct full name for this famous athlete.
charlesdarwin,Charles Darwin,Charles Darwin,Darwin,Charles Darwin is world-famous by his surname alone.
charlesdickens,Charles Dickens,Charles Dickens,Charles Dickens,Both names are needed to identify him; the current display is already correct.
charlesmanson,Charles Manson,Charles Manson,Charles Manson,Both names are needed for the instantly recognizable full name.
charliechaplin,Charlie Chaplin,Charlie Chaplin,Charlie Chaplin,Both names are needed to identify the iconic performer.
charltonheston,Charlton Heston,Charlton Heston,Charlton Heston,Both first and last names are needed to identify the famous actor.
cheechmarin,Cheech Marin,Cheech Marin,Cheech Marin,Both names are needed to identify the famous actor and comedian.
cheguevara,Che Guevara,Che Guevara,Che Guevara,Both names are needed for the instantly recognizable form.
cher,Cher,Cher,Cher,Cher is already the instantly recognizable name and should remain unchanged.
chowyunfat,Chow Yun-fat,Chow Yun-fat,Chow Yun-fat,"His full name is the recognizable form, and the current display is already correct."
chrisfarley,Chris Farley,Chris Farley,Chris Farley,Both first and last names are needed to identify the famous comedian.
chrishemsworth,Chris Hemsworth,Chris Hemsworth,Chris Hemsworth,Both first and last names are needed to identify the actor; the current display is already correct.
chrisjericho,Chris Jericho,Chris Jericho,Chris Jericho,Already the correct recognizable full name; neither name alone is the standard form.
chrisrock,Chris Rock,Chris Rock,Chris Rock,"The current display is already the natural, recognizable full name."
christophercolum,Christopher Columbus,Christopher Columbus,Christopher Columbus,Both names are needed to identify him naturally; neither surname nor first name alone is the iconic form.
christopherlee,Christopher Lee,Christopher Lee,Christopher Lee,"His full name is the recognizable form, and the current display is already correct."
christopherreeve,Christopher Reeve,Christopher Reeve,Christopher Reeve,Both first and last names are needed to identify the famous actor.
christopherwalke,Christopher Walken,Christopher Walken,Christopher Walken,Both names are needed to identify the famous actor.
chuckberry,Chuck Berry,Chuck Berry,Chuck Berry,The current display is already the recognizable full name.
chuckd,Chuck D,Chuck D,Chuck D,The current display is already the artist’s recognizable stage name.
chucknorris,Chuck Norris,Chuck Norris,Chuck Norris,"The current display is already the fighter’s iconic, instantly recognizable name."
chyna,Chyna,Chyna,Chyna,Already the iconic name used by the fighter.
claudemonet,Claude Monet,Claude Monet,Monet,Surname alone is the instantly recognizable form for Claude Monet.
claudeshannon,Claude Shannon,Claude Shannon,Claude Shannon,Both names are needed to instantly identify him; the current display is already correct.
cleopatra,Cleopatra,Cleopatra,Cleopatra,"Already the iconic, instantly recognizable name."
clinteastwood,Clint Eastwood,Clint Eastwood,Clint Eastwood,Both first and last names are needed for the instantly recognizable public figure.
cmpunk,CM Punk,CM Punk,CM Punk,The current display is already the fighter’s recognizable ring name.
cocochanel,Coco Chanel,Coco Chanel,Coco Chanel,Both names are needed to identify the iconic fashion designer.
codyrhodes,Cody Rhodes,Cody Rhodes,Cody Rhodes,"Already the natural, instantly recognizable full name for this wrestler."
colinkaepernick,Colin Kaepernick,Colin Kaepernick,Colin Kaepernick,"His full name is the recognizable form, and the current display is already correct."
colonelsanders,Colonel Sanders,Colonel Sanders,Colonel Sanders,"The current display is already the fighter's iconic, instantly recognizable name and preserves his title."
conanobrien,Conan O'Brien,Conan O'Brien,Conan O'Brien,"His full name is already the natural, instantly recognizable in-game form."
confucius,Confucius,Confucius,Confucius,"The current display is already the natural, instantly recognizable name."
conormcgregor,Conor McGregor,Conor McGregor,Conor McGregor,Both the first and last name are needed to identify the famous fighter.
coolio,Coolio,Coolio,Coolio,The current display is already the fighter’s recognizable stage name.
coreytaylor,Corey Taylor,Corey Taylor,Corey Taylor,The current display is already the appropriate full name.
countdracula,Count Dracula,Count Dracula,Count Dracula,The iconic title and full name are the instantly recognizable form.
countorlok,Count Orlok,Count Orlok,Count Orlok,Already the correct iconic character name; the title and surname together identify him.
courtneylove,Courtney Love,Courtney Love,Courtney Love,"Her full name is the recognizable form, and the current display is already correct."
crazyhorse,Crazy Horse,Crazy Horse,Crazy Horse,Already the correct iconic name; no qualifier needs to be removed.
crissangel,Criss Angel,Criss Angel,Criss Angel,The current display already uses the performer's recognizable full stage name.
cristianoronaldo,Cristiano Ronaldo,Cristiano Ronaldo,Cristiano Ronaldo,Both names are needed to clearly identify the famous footballer.
cthulhu,Cthulhu,Cthulhu,Cthulhu,Already the iconic name by which the character is instantly recognized.
cupid,Cupid,Cupid,Cupid,"Cupid is already the iconic, instantly recognizable name."
curlyhoward,Curly Howard,Curly Howard,Curly Howard,Both names are needed to identify the famous comedian.
cyndilauper,Cyndi Lauper,Cyndi Lauper,Cyndi Lauper,"Her full name is the recognizable form, and the current display is already correct."
cyranodebergerac,Cyrano de Bergerac,Cyrano de Bergerac,Cyrano,Cyrano is the instantly recognizable famous form of Cyrano de Bergerac.
daftpunk,Daft Punk,Daft Punk,Daft Punk,The current display is already the recognizable name of the act.
dalailama,Dalai Lama,Dalai Lama,Dalai Lama,The current display is already the recognized title and name.
daleearnhardt,Dale Earnhardt,Dale Earnhardt,Dale Earnhardt,His full name is the recognizable form and the current display is already correct.
danacarvey,Dana Carvey,Dana Carvey,Dana Carvey,"His full name is the recognizable form, and the current display is already correct."
danawhite,Dana White,Dana White,Dana White,The current display is already the fighter’s recognizable full name.
danaykroyd,Dan Aykroyd,Dan Aykroyd,Dan Aykroyd,Both first and last names are needed to identify the famous actor.
danicapatrick,Danica Patrick,Danica Patrick,Danica Patrick,Both her first and last names are needed for her instantly recognizable full name.
danielaamodei,Daniela Amodei,Daniela Amodei,Daniela Amodei,"Her full name is the natural recognizable form, and the current display is already correct."
danielradcliffe,Daniel Radcliffe,Daniel Radcliffe,Daniel Radcliffe,Both first and last names are needed to identify him.
dannydevito,Danny DeVito,Danny DeVito,Danny DeVito,Both first and last names are needed for the instantly recognizable form.
dantealighieri,Dante Alighieri,Dante Alighieri,Dante,Dante is the instantly recognizable form for the world-famous poet Dante Alighieri.
darioamodei,Dario Amodei,Dario Amodei,Dario Amodei,His full name is the appropriate recognizable in-game form.
dartagnan,d'Artagnan,d'Artagnan,d'Artagnan,The current display is already the character's recognizable name.
datemasamune,Date Masamune,Date Masamune,Date Masamune,"The full name is the recognizable form for this historical Japanese warlord, and the current display is already correct."
davebautista,Dave Bautista,Dave Bautista,Dave Bautista,Both names are needed to identify the famous wrestler and actor.
davechappelle,Dave Chappelle,Dave Chappelle,Dave Chappelle,"His full name is the recognisable form, and the current display is already correct."
davegrohl,Dave Grohl,Dave Grohl,Dave Grohl,Both first and last name are needed to identify him instantly.
davidattenboroug,David Attenborough,David Attenborough,David Attenborough,Both names are needed to identify the famous broadcaster.
davidbeckham,David Beckham,David Beckham,David Beckham,Both names are needed to instantly identify him; the current display is already correct.
davidblaine,David Blaine,David Blaine,David Blaine,His full name is the recognisable form and the current display is already correct.
davidbowie,David Bowie,David Bowie,David Bowie,Both first and last names are needed for the instantly recognizable name.
davidcopperfield,David Copperfield,David Copperfield,David Copperfield,"The full name is the recognizable form for this fictional character, and the current display is already correct."
davidhasselhoff,David Hasselhoff,David Hasselhoff,David Hasselhoff,"The current display is already the natural, instantly recognisable full name."
davidletterman,David Letterman,David Letterman,David Letterman,Both first and last name are needed for the famous late-night host.
davidlynch,David Lynch,David Lynch,David Lynch,Both first and last names are needed to identify the famous filmmaker.
davycrockett,Davy Crockett,Davy Crockett,Davy Crockett,Both names are needed for the iconic historical figure.
davyjones,Davy Jones,Davy Jones,Davy Jones,The current display is already the recognizable full name.
deadmau5,Deadmau5,Deadmau5,Deadmau5,The current display is already the musician’s iconic stage name.
deanmartin,Dean Martin,Dean Martin,Dean Martin,The current display is already the recognizable full name.
debbieharry,Debbie Harry,Debbie Harry,Debbie Harry,Both her first and last names are needed for the recognizable full name.
deionsanders,Deion Sanders,Deion Sanders,Deion Sanders,Both first and last name are needed for the instantly recognizable full name.
demishassabis,Demis Hassabis,Demis Hassabis,Demis Hassabis,Both given name and surname are needed to identify him; the current display is already correct.
dennisrodman,Dennis Rodman,Dennis Rodman,Dennis Rodman,Both first and last name are needed for the instantly recognizable full name.
denzelwashington,Denzel Washington,Denzel Washington,Denzel Washington,Both first and last names are needed to identify the famous actor.
dickvandyke,Dick Van Dyke,Dick Van Dyke,Dick Van Dyke,The current display is already the iconic full name by which he is widely recognized.
diddy,Diddy,Diddy,Diddy,The current display is already the recognizable name.
diegomaradona,Diego Maradona,Diego Maradona,Maradona,Surname alone is the iconic form by which Diego Maradona is widely recognized.
dikembemutombo,Dikembe Mutombo,Dikembe Mutombo,Mutombo,Surname alone is the instantly recognizable form for Dikembe Mutombo.
dizzygillespie,Dizzy Gillespie,Dizzy Gillespie,Dizzy Gillespie,The current display is already the fighter's recognisable full name.
djkhaled,DJ Khaled,DJ Khaled,DJ Khaled,"His recognizable public name is DJ Khaled, and the current display is already correct."
dojacat,Doja Cat,Doja Cat,Doja Cat,The current display is already the artist’s recognizable full stage name.
dollyparton,Dolly Parton,Dolly Parton,Dolly Parton,Both first and last name are needed for the iconic form.
dolphlundgren,Dolph Lundgren,Dolph Lundgren,Dolph Lundgren,"His full name is the recognizable form, and the current display is already correct."
donaldknuth,Donald Knuth,Donald Knuth,Knuth,Donald Knuth is world-famous by his surname alone.
donaldtrump,Donald Trump,Donald Trump,Donald Trump,"His full name is the instantly recognizable form, and the current display is already correct."
donaldtrumpjr,Donald Trump Jr.,Donald Trump Jr.,Donald Trump Jr.,The current display is already the natural full name needed to distinguish him from Donald Trump.
donatellaversace,Donatella Versace,Donatella Versace,Donatella Versace,"Her full name is the recognisable form, and the current display is already correct."
donatello,Donatello,Donatello,Donatello,"The current display is already the natural, instantly recognizable name."
donjuan,Don Juan,Don Juan,Don Juan,"Already the natural, instantly recognisable name for the famous legendary seducer."
donknotts,Don Knotts,Don Knotts,Don Knotts,"His full name is the recognizable form, and the current display is already correct."
donnieyen,Donnie Yen,Donnie Yen,Donnie Yen,The current display is already the recognizable full name.
donquixote,Don Quixote,Don Quixote,Don Quixote,The current display is already the character’s iconic full name.
donrickles,Don Rickles,Don Rickles,Don Rickles,"His full name is the recognizable form, and the current display is already correct."
dorothygale,Dorothy Gale,Dorothy Gale,Dorothy Gale,Both names are needed to identify the iconic character.
douglasmacarthur,Douglas MacArthur,Douglas MacArthur,MacArthur,"Douglas MacArthur is world-famous by his surname, so the announcer uses the shortest instantly recognizable form."
drake,Drake,Drake,Drake,Drake is the iconic stage name and the current display is already correct.
drdre,Dr. Dre,Dr. Dre,Dr. Dre,"The current display is already the fighter’s iconic, instantly recognizable name."
drphil,Dr. Phil,Dr. Phil,Dr. Phil,Already the recognizable public name and should remain unchanged.
drseuss,Dr. Seuss,Dr. Seuss,Dr. Seuss,Already the recognizable in-game name; retain the iconic title and surname.
dwarkeshpatel,Dwarkesh Patel,Dwarkesh Patel,Dwarkesh Patel,The current display is already the appropriate full name.
dwaynetherockjoh,Dwayne The Rock Johnson,Dwayne The Rock Johnson,The Rock,His famous wrestling stage name is the instantly recognizable form.
earthakitt,Eartha Kitt,Eartha Kitt,Eartha Kitt,"Her full name is the recognizable form, and the current display is already correct."
easterislandmoai,Easter Island Moai,Easter Island Moai,Moai,The instantly recognizable name is “Moai”; “Easter Island” is a descriptive qualifier.
eazye,Eazy-E,Eazy-E,Eazy-E,"The current display is already the fighter’s iconic, instantly recognizable stage name."
ebenezerscrooge,Ebenezer Scrooge,Ebenezer Scrooge,Scrooge,Scrooge is the instantly recognizable surname and famous form of Ebenezer Scrooge.
